"lang"
{
"Language"	"turkish"
"announcer_ann_custom_tower_fall_15"	"Köpek'in kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_15"	"Dog's tower has fallen."
"announcer_ann_custom_tower_fall_16"	"Ejder'nın kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_16"	"Dragon's tower has fallen."
"announcer_ann_custom_tower_fall_17"	"At'ın kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_17"	"Horse's tower has fallen."
"announcer_ann_custom_tower_fall_18"	"Maymun'un kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_18"	"Monkey's tower has fallen."
"announcer_ann_custom_tower_fall_19"	"Öküz'ün kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_19"	"Ox's tower has fallen."
"announcer_ann_custom_tower_fall_20"	"Tavşan'ın kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_20"	"Rabbit's tower has fallen."
"announcer_ann_custom_tower_fall_21"	"Koç'un kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_21"	"Ram's tower has fallen."
"announcer_ann_custom_tower_fall_22"	"Fare'nin kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_22"	"Rat's tower has fallen."
"announcer_ann_custom_tower_fall_23"	"Horoz'un kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_23"	"Rooster's tower has fallen."
"announcer_ann_custom_tower_fall_24"	"Yılan'ın kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_24"	"Snake's tower has fallen."
"announcer_ann_custom_tower_fall_25"	"Kaplan'ın kulesi yıkıldı."
"[english]announcer_ann_custom_tower_fall_25"	"Tiger's tower has fallen."
"announcer_ann_custom_tower_deny_01"	"Turkuaz'ın kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_01"	"Teal's tower has been denied."
"announcer_ann_custom_tower_deny_02"	"Sarı'nın kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_02"	"Yellow's tower has been denied."
"announcer_ann_custom_tower_deny_03"	"Pembe'nin kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_03"	"Pink's tower has been denied."
"announcer_ann_custom_tower_deny_04"	"Turuncu'nun kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_04"	"Orange's tower has been denied."
"announcer_ann_custom_tower_deny_05"	"Mor'un kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_05"	"Purple's tower has been denied."
"announcer_ann_custom_tower_deny_06"	"Mavi'nin kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_06"	"Blue's tower has been denied."
"announcer_ann_custom_tower_deny_07"	"Zeytin'in kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_07"	"Olive's tower has been denied."
"announcer_ann_custom_tower_deny_08"	"Kahverengi'nin kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_08"	"Brown's tower has been denied."
"announcer_ann_custom_tower_deny_09"	"Açık Mavi'nin kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_09"	"Cyan's tower has been denied."
"announcer_ann_custom_tower_deny_10"	"Yeşil'in kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_10"	"Green's tower has been denied."
"announcer_ann_custom_tower_deny_11"	"Gri'nin kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_11"	"Grey's tower has been denied."
"announcer_ann_custom_tower_deny_12"	"Gümüş'ün kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_12"	"Silver's tower has been denied."
"announcer_ann_custom_tower_deny_13"	"Kırmızı'nın kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_13"	"Red's tower has been denied."
"announcer_ann_custom_tower_deny_14"	"Domuz'un kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_14"	"Boar's tower has been denied."
"announcer_ann_custom_tower_deny_15"	"Köpek'in kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_15"	"Dog's tower has been denied."
"announcer_ann_custom_tower_deny_16"	"Ejder'in kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_16"	"Dragon's tower has been denied."
"announcer_ann_custom_tower_deny_17"	"At'ın kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_17"	"Horse's tower has been denied."
"announcer_ann_custom_tower_deny_18"	"Maymun'un kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_18"	"Monkey's tower has been denied."
"announcer_ann_custom_tower_deny_19"	"Öküz'ün kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_19"	"Ox's tower has been denied."
"announcer_ann_custom_tower_deny_20"	"Tavşan'ın kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_20"	"Rabbit's tower has been denied."
"announcer_ann_custom_tower_deny_21"	"Koç'un kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_21"	"Ram's tower has been denied."
"announcer_ann_custom_tower_deny_22"	"Fare'nin kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_22"	"Rat's tower has been denied."
"announcer_ann_custom_tower_deny_23"	"Horoz'un kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_23"	"Rooster's tower has been denied."
"announcer_ann_custom_tower_deny_24"	"Yılan'ın kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_24"	"Snake's tower has been denied."
"announcer_ann_custom_tower_deny_25"	"Kaplanın kulesi reddedildi."
"[english]announcer_ann_custom_tower_deny_25"	"Tiger's tower has been denied."
"announcer_ann_custom_barracks_fall_01"	"Turkuaz'ın barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_01"	"Teal's barracks has fallen."
"announcer_ann_custom_barracks_fall_02"	"Sarı'nın barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_02"	"Yellow's barracks has fallen."
"announcer_ann_custom_barracks_fall_03"	"Pembe'nin barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_03"	"Pink's barracks has fallen."
"announcer_ann_custom_barracks_fall_04"	"Turuncu'nun barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_04"	"Orange's barracks has fallen."
"announcer_ann_custom_barracks_fall_05"	"Mor'un barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_05"	"Purple's barracks has fallen."
"announcer_ann_custom_barracks_fall_06"	"Mavi'nin barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_06"	"Blue's barracks has fallen."
"announcer_ann_custom_barracks_fall_07"	"Zeytin'in barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_07"	"Olive's barracks has fallen."
"announcer_ann_custom_barracks_fall_08"	"Kahverengi'nin barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_08"	"Brown's barracks has fallen."
"announcer_ann_custom_barracks_fall_09"	"Açık Mavi'nin barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_09"	"Cyan's barracks has fallen."
"announcer_ann_custom_barracks_fall_10"	"Yeşil'in barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_10"	"Green's barracks has fallen."
"announcer_ann_custom_barracks_fall_11"	"Gri'nin barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_11"	"Grey's barracks has fallen."
"announcer_ann_custom_barracks_fall_12"	"Gümüş'ün barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_12"	"Silver's barracks has fallen."
"announcer_ann_custom_barracks_fall_13"	"Kırmızı'nın barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_13"	"Red's barracks has fallen."
"announcer_ann_custom_barracks_fall_14"	"Domuz'un barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_14"	"Boar's barracks has fallen."
"announcer_ann_custom_barracks_fall_15"	"Köpek'in barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_15"	"Dog's barracks has fallen."
"announcer_ann_custom_barracks_fall_16"	"Ejder'nın barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_16"	"Dragon's barracks has fallen."
"announcer_ann_custom_barracks_fall_17"	"At'ın barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_17"	"Horse's barracks has fallen."
"announcer_ann_custom_barracks_fall_18"	"Maymun'un barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_18"	"Monkey's barracks has fallen."
"announcer_ann_custom_barracks_fall_19"	"Öküz'ün barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_19"	"Ox's barracks has fallen."
"announcer_ann_custom_barracks_fall_20"	"Tavşan'ın barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_20"	"Rabbit's barracks has fallen."
"announcer_ann_custom_barracks_fall_21"	"Koç'un barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_21"	"Ram's barracks has fallen."
"announcer_ann_custom_barracks_fall_22"	"Fare'nin barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_22"	"Rat's barracks has fallen."
"announcer_ann_custom_barracks_fall_23"	"Horoz'un barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_23"	"Rooster's barracks has fallen."
"announcer_ann_custom_barracks_fall_24"	"Yılan'ın barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_24"	"Snake's barracks has fallen."
"announcer_ann_custom_barracks_fall_25"	"Kaplan'ın barakaları yıkıldı."
"[english]announcer_ann_custom_barracks_fall_25"	"Tiger's barracks has fallen."
"announcer_ann_custom_mega_creeps_01"	"Turkuaz artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_01"	"Teal now has megacreeps."
"announcer_ann_custom_mega_creeps_02"	"Sarı artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_02"	"Yellow now has megacreeps."
"announcer_ann_custom_mega_creeps_03"	"Pembe artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_03"	"Pink now has megacreeps."
"announcer_ann_custom_mega_creeps_04"	"Turuncu artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_04"	"Orange now has megacreeps."
"announcer_ann_custom_mega_creeps_05"	"Mor artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_05"	"Purple now has megacreeps."
"announcer_ann_custom_mega_creeps_06"	"Mavi artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_06"	"Blue now has megacreeps."
"announcer_ann_custom_mega_creeps_07"	"Zeytin artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_07"	"Olive now has megacreeps."
"announcer_ann_custom_mega_creeps_08"	"Kahverengi artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_08"	"Brown now has megacreeps."
"announcer_ann_custom_mega_creeps_09"	"Açık Mavi artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_09"	"Cyan now has megacreeps."
"announcer_ann_custom_mega_creeps_10"	"Yeşil artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_10"	"Green now has megacreeps."
"announcer_ann_custom_mega_creeps_11"	"Gri artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_11"	"Grey now has megacreeps."
"announcer_ann_custom_mega_creeps_12"	"Gümüş artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_12"	"Silver now has megacreeps."
"announcer_ann_custom_mega_creeps_13"	"Kırmızı artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_13"	"Red now has megacreeps."
"announcer_ann_custom_mega_creeps_14"	"Domuz artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_14"	"Boar now has megacreeps."
"announcer_ann_custom_mega_creeps_15"	"Köpek artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_15"	"Dog now has megacreeps."
"announcer_ann_custom_mega_creeps_16"	"Ejder artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_16"	"Dragon now has megacreeps."
"announcer_ann_custom_mega_creeps_17"	"At artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_17"	"Horse now has megacreeps."
"announcer_ann_custom_mega_creeps_18"	"Maymun artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_18"	"Monkey now has megacreeps."
"announcer_ann_custom_mega_creeps_19"	"Öküz artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_19"	"Ox now has megacreeps."
"announcer_ann_custom_mega_creeps_20"	"Tavşan artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_20"	"Rabbit now has megacreeps."
"announcer_ann_custom_mega_creeps_21"	"Koç artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_21"	"Ram now has megacreeps."
"announcer_ann_custom_mega_creeps_22"	"Fare artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_22"	"Rat now has megacreeps."
"announcer_ann_custom_mega_creeps_23"	"Horoz artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_23"	"Rooster now has megacreeps."
"announcer_ann_custom_mega_creeps_24"	"Yılan artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_24"	"Snake now has megacreeps."
"announcer_ann_custom_mega_creeps_25"	"Kaplan artık dev yaratıklara sahip."
"[english]announcer_ann_custom_mega_creeps_25"	"Tiger now has megacreeps."
"announcer_ann_custom_roshan_fall_01"	"Roshan, Turkuaz tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_01"	"Roshan has fallen to Teal."
"announcer_ann_custom_roshan_fall_02"	"Roshan, Sarı tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_02"	"Roshan has fallen to Yellow."
"announcer_ann_custom_roshan_fall_03"	"Roshan, Pembe tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_03"	"Roshan has fallen to Pink."
"announcer_ann_custom_roshan_fall_04"	"Roshan, Turuncu tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_04"	"Roshan has fallen to Orange."
"announcer_ann_custom_roshan_fall_05"	"Roshan, Mor tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_05"	"Roshan has fallen to Purple."
"announcer_ann_custom_roshan_fall_06"	"Roshan, Mavi tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_06"	"Roshan has fallen to Blue."
"announcer_ann_custom_roshan_fall_07"	"Roshan, Zeytin tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_07"	"Roshan has fallen to Olive."
"announcer_ann_custom_roshan_fall_08"	"Roshan, Kahverengi tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_08"	"Roshan has fallen to Brown."
"announcer_ann_custom_roshan_fall_09"	"Roshan, Açık Mavi tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_09"	"Roshan has fallen to Cyan."
"announcer_ann_custom_roshan_fall_10"	"Roshan, Yeşil tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_10"	"Roshan has fallen to Green."
"announcer_ann_custom_roshan_fall_11"	"Roshan, Gri tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_11"	"Roshan has fallen to Grey."
"announcer_ann_custom_roshan_fall_12"	"Roshan, Gümüş tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_12"	"Roshan has fallen to Silver."
"announcer_ann_custom_roshan_fall_13"	"Roshan, Kırmızı tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_13"	"Roshan has fallen to Red."
"announcer_ann_custom_roshan_fall_14"	"Roshan, Domuz tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_14"	"Roshan has fallen to Boar."
"announcer_ann_custom_roshan_fall_15"	"Roshan, Köpek tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_15"	"Roshan has fallen to Dog."
"announcer_ann_custom_roshan_fall_16"	"Roshan, Ejder tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_16"	"Roshan has fallen to Dragon."
"announcer_ann_custom_roshan_fall_17"	"Roshan, At tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_17"	"Roshan has fallen to Horse."
"announcer_ann_custom_roshan_fall_18"	"Roshan, Maymun tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_18"	"Roshan has fallen to Monkey."
"announcer_ann_custom_roshan_fall_19"	"Roshan, Öküz tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_19"	"Roshan has fallen to Ox."
"announcer_ann_custom_roshan_fall_20"	"Roshan, Tavşan tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_20"	"Roshan has fallen to Rabbit."
"announcer_ann_custom_roshan_fall_21"	"Roshan, Koç tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_21"	"Roshan has fallen to Ram."
"announcer_ann_custom_roshan_fall_22"	"Roshan, Fare tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_22"	"Roshan has fallen to Rat."
"announcer_ann_custom_roshan_fall_23"	"Roshan, Horoz tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_23"	"Roshan has fallen to Rooster."
"announcer_ann_custom_roshan_fall_24"	"Roshan, Yılan tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_24"	"Roshan has fallen to Snake."
"announcer_ann_custom_roshan_fall_25"	"Roshan, Kaplan tarafından öldürüldü!"
"[english]announcer_ann_custom_roshan_fall_25"	"Roshan has fallen to Tiger."
"announcer_ann_custom_courier_slain_01"	"Turkuaz'ın kuryesi katledildi."
"[english]announcer_ann_custom_courier_slain_01"	"Teal's courier has been slain."
"announcer_ann_custom_courier_slain_02"	"Sarı'nın kuryesi katledildi."
"[english]announcer_ann_custom_courier_slain_02"	"Yellow's courier has been slain."
"announcer_ann_custom_courier_slain_03"	"Pembe'nin kuryesi katledildi."
"[english]announcer_ann_custom_courier_slain_03"	"Pink's courier has been slain."
"announcer_ann_custom_courier_slain_04"	"Turuncu'nun kuryesi katledildi."
