"lang"
{
"Language"	"polish"
"announcer_ann_custom_tower_fall_08"	"Wieża Brązowych została zniszczona."
"[english]announcer_ann_custom_tower_fall_08"	"Brown's tower has fallen."
"announcer_ann_custom_tower_fall_09"	"Wieża Turkusowych została zniszczona."
"[english]announcer_ann_custom_tower_fall_09"	"Cyan's tower has fallen."
"announcer_ann_custom_tower_fall_10"	"Wieża Zielonych została zniszczona."
"[english]announcer_ann_custom_tower_fall_10"	"Green's tower has fallen."
"announcer_ann_custom_tower_fall_11"	"Wieża Szarych została zniszczona."
"[english]announcer_ann_custom_tower_fall_11"	"Grey's tower has fallen."
"announcer_ann_custom_tower_fall_12"	"Wieża Srebrnych została zniszczona."
"[english]announcer_ann_custom_tower_fall_12"	"Silver's tower has fallen."
"announcer_ann_custom_tower_fall_13"	"Wieża Czerwonych została zniszczona."
"[english]announcer_ann_custom_tower_fall_13"	"Red's tower has fallen."
"announcer_ann_custom_tower_fall_14"	"Wieża drużyny Dzików została zniszczona."
"[english]announcer_ann_custom_tower_fall_14"	"Boar's tower has fallen."
"announcer_ann_custom_tower_fall_15"	"Wieża drużyny Psów została zniszczona."
"[english]announcer_ann_custom_tower_fall_15"	"Dog's tower has fallen."
"announcer_ann_custom_tower_fall_16"	"Wieża drużyny Smoków została zniszczona."
"[english]announcer_ann_custom_tower_fall_16"	"Dragon's tower has fallen."
"announcer_ann_custom_tower_fall_17"	"Wieża drużyny Koni została zniszczona."
"[english]announcer_ann_custom_tower_fall_17"	"Horse's tower has fallen."
"announcer_ann_custom_tower_fall_18"	"Wieża drużyny Małp została zniszczona."
"[english]announcer_ann_custom_tower_fall_18"	"Monkey's tower has fallen."
"announcer_ann_custom_tower_fall_19"	"Wieża drużyny Wołów została zniszczona."
"[english]announcer_ann_custom_tower_fall_19"	"Ox's tower has fallen."
"announcer_ann_custom_tower_fall_20"	"Wieża drużyny Królików została zniszczona."
"[english]announcer_ann_custom_tower_fall_20"	"Rabbit's tower has fallen."
"announcer_ann_custom_tower_fall_21"	"Wieża drużyny Baranów została zniszczona."
"[english]announcer_ann_custom_tower_fall_21"	"Ram's tower has fallen."
"announcer_ann_custom_tower_fall_22"	"Wieża drużyny Szczurów została zniszczona."
"[english]announcer_ann_custom_tower_fall_22"	"Rat's tower has fallen."
"announcer_ann_custom_tower_fall_23"	"Wieża drużyny Kogutów została zniszczona."
"[english]announcer_ann_custom_tower_fall_23"	"Rooster's tower has fallen."
"announcer_ann_custom_tower_fall_24"	"Wieża drużyny Węży została zniszczona."
"[english]announcer_ann_custom_tower_fall_24"	"Snake's tower has fallen."
"announcer_ann_custom_tower_fall_25"	"Wieża drużyny Tygrysów została zniszczona."
"[english]announcer_ann_custom_tower_fall_25"	"Tiger's tower has fallen."
"announcer_ann_custom_tower_deny_01"	"Wieża Turkusowych została dobita."
"[english]announcer_ann_custom_tower_deny_01"	"Teal's tower has been denied."
"announcer_ann_custom_tower_deny_02"	"Wieża Żółtych została dobita."
"[english]announcer_ann_custom_tower_deny_02"	"Yellow's tower has been denied."
"announcer_ann_custom_tower_deny_03"	"Wieża Różowych została dobita."
"[english]announcer_ann_custom_tower_deny_03"	"Pink's tower has been denied."
"announcer_ann_custom_tower_deny_04"	"Wieża Pomarańczowych została dobita."
"[english]announcer_ann_custom_tower_deny_04"	"Orange's tower has been denied."
"announcer_ann_custom_tower_deny_05"	"Wieża Fioletowych została dobita."
"[english]announcer_ann_custom_tower_deny_05"	"Purple's tower has been denied."
"announcer_ann_custom_tower_deny_06"	"Wieża Niebieskich została dobita."
"[english]announcer_ann_custom_tower_deny_06"	"Blue's tower has been denied."
"announcer_ann_custom_tower_deny_07"	"Wieża Oliwkowych została dobita."
"[english]announcer_ann_custom_tower_deny_07"	"Olive's tower has been denied."
"announcer_ann_custom_tower_deny_08"	"Wieża Brązowych została dobita."
"[english]announcer_ann_custom_tower_deny_08"	"Brown's tower has been denied."
"announcer_ann_custom_tower_deny_09"	"Wieża Turkusowych została dobita."
"[english]announcer_ann_custom_tower_deny_09"	"Cyan's tower has been denied."
"announcer_ann_custom_tower_deny_10"	"Wieża Zielonych została dobita."
"[english]announcer_ann_custom_tower_deny_10"	"Green's tower has been denied."
"announcer_ann_custom_tower_deny_11"	"Wieża Szarych została dobita."
"[english]announcer_ann_custom_tower_deny_11"	"Grey's tower has been denied."
"announcer_ann_custom_tower_deny_12"	"Wieża Srebrnych została dobita."
"[english]announcer_ann_custom_tower_deny_12"	"Silver's tower has been denied."
"announcer_ann_custom_tower_deny_13"	"Wieża Czerwonych została dobita."
"[english]announcer_ann_custom_tower_deny_13"	"Red's tower has been denied."
"announcer_ann_custom_tower_deny_14"	"Wieża drużyny Dzików została dobita."
"[english]announcer_ann_custom_tower_deny_14"	"Boar's tower has been denied."
"announcer_ann_custom_tower_deny_15"	"Wieża drużyny Psów została dobita."
"[english]announcer_ann_custom_tower_deny_15"	"Dog's tower has been denied."
"announcer_ann_custom_tower_deny_16"	"Wieża drużyny Smoków została dobita."
"[english]announcer_ann_custom_tower_deny_16"	"Dragon's tower has been denied."
"announcer_ann_custom_tower_deny_17"	"Wieża drużyny Koni została dobita."
"[english]announcer_ann_custom_tower_deny_17"	"Horse's tower has been denied."
"announcer_ann_custom_tower_deny_18"	"Wieża drużyny Małp została dobita."
"[english]announcer_ann_custom_tower_deny_18"	"Monkey's tower has been denied."
"announcer_ann_custom_tower_deny_19"	"Wieża drużyny Wołów została dobita."
"[english]announcer_ann_custom_tower_deny_19"	"Ox's tower has been denied."
"announcer_ann_custom_tower_deny_20"	"Wieża drużyny Królików została dobita."
"[english]announcer_ann_custom_tower_deny_20"	"Rabbit's tower has been denied."
"announcer_ann_custom_tower_deny_21"	"Wieża drużyny Baranów została dobita."
"[english]announcer_ann_custom_tower_deny_21"	"Ram's tower has been denied."
"announcer_ann_custom_tower_deny_22"	"Wieża drużyny Szczurów została dobita."
"[english]announcer_ann_custom_tower_deny_22"	"Rat's tower has been denied."
"announcer_ann_custom_tower_deny_23"	"Wieża drużyny Kogutów została dobita."
"[english]announcer_ann_custom_tower_deny_23"	"Rooster's tower has been denied."
"announcer_ann_custom_tower_deny_24"	"Wieża drużyny Węży została dobita."
"[english]announcer_ann_custom_tower_deny_24"	"Snake's tower has been denied."
"announcer_ann_custom_tower_deny_25"	"Wieża drużyny Tygrysów została dobita."
"[english]announcer_ann_custom_tower_deny_25"	"Tiger's tower has been denied."
"announcer_ann_custom_barracks_fall_01"	"Koszary Turkusowych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_01"	"Teal's barracks has fallen."
"announcer_ann_custom_barracks_fall_02"	"Koszary Żółtych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_02"	"Yellow's barracks has fallen."
"announcer_ann_custom_barracks_fall_03"	"Koszary Różowych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_03"	"Pink's barracks has fallen."
"announcer_ann_custom_barracks_fall_04"	"Koszary Pomarańczowych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_04"	"Orange's barracks has fallen."
"announcer_ann_custom_barracks_fall_05"	"Koszary Fioletowych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_05"	"Purple's barracks has fallen."
"announcer_ann_custom_barracks_fall_06"	"Koszary Niebieskich zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_06"	"Blue's barracks has fallen."
"announcer_ann_custom_barracks_fall_07"	"Koszary Oliwkowych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_07"	"Olive's barracks has fallen."
"announcer_ann_custom_barracks_fall_08"	"Koszary Brązowych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_08"	"Brown's barracks has fallen."
"announcer_ann_custom_barracks_fall_09"	"Koszary Turkusowych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_09"	"Cyan's barracks has fallen."
"announcer_ann_custom_barracks_fall_10"	"Koszary Zielonych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_10"	"Green's barracks has fallen."
"announcer_ann_custom_barracks_fall_11"	"Koszary Szarych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_11"	"Grey's barracks has fallen."
"announcer_ann_custom_barracks_fall_12"	"Koszary Srebrnych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_12"	"Silver's barracks has fallen."
"announcer_ann_custom_barracks_fall_13"	"Koszary Czerwonych zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_13"	"Red's barracks has fallen."
"announcer_ann_custom_barracks_fall_14"	"Koszary drużyny Dzików zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_14"	"Boar's barracks has fallen."
"announcer_ann_custom_barracks_fall_15"	"Koszary drużyny Psów zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_15"	"Dog's barracks has fallen."
"announcer_ann_custom_barracks_fall_16"	"Koszary drużyny Smoków zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_16"	"Dragon's barracks has fallen."
"announcer_ann_custom_barracks_fall_17"	"Koszary drużyny Koni zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_17"	"Horse's barracks has fallen."
"announcer_ann_custom_barracks_fall_18"	"Koszary drużyny Małp zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_18"	"Monkey's barracks has fallen."
"announcer_ann_custom_barracks_fall_19"	"Koszary drużyny Wołów zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_19"	"Ox's barracks has fallen."
"announcer_ann_custom_barracks_fall_20"	"Koszary drużyny Królików zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_20"	"Rabbit's barracks has fallen."
"announcer_ann_custom_barracks_fall_21"	"Koszary drużyny Baranów zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_21"	"Ram's barracks has fallen."
"announcer_ann_custom_barracks_fall_22"	"Koszary drużyny Szczurów zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_22"	"Rat's barracks has fallen."
"announcer_ann_custom_barracks_fall_23"	"Koszary drużyny Kogutów zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_23"	"Rooster's barracks has fallen."
"announcer_ann_custom_barracks_fall_24"	"Koszary drużyny Węży zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_24"	"Snake's barracks has fallen."
"announcer_ann_custom_barracks_fall_25"	"Koszary drużyny Tygrysów zostały zniszczone."
"[english]announcer_ann_custom_barracks_fall_25"	"Tiger's barracks has fallen."
"announcer_ann_custom_mega_creeps_01"	"Turkusowi mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_01"	"Teal now has megacreeps."
"announcer_ann_custom_mega_creeps_02"	"Żółci mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_02"	"Yellow now has megacreeps."
"announcer_ann_custom_mega_creeps_03"	"Różowi mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_03"	"Pink now has megacreeps."
"announcer_ann_custom_mega_creeps_04"	"Pomarańczowi mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_04"	"Orange now has megacreeps."
"announcer_ann_custom_mega_creeps_05"	"Fioletowi mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_05"	"Purple now has megacreeps."
"announcer_ann_custom_mega_creeps_06"	"Niebiescy mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_06"	"Blue now has megacreeps."
"announcer_ann_custom_mega_creeps_07"	"Oliwkowi mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_07"	"Olive now has megacreeps."
"announcer_ann_custom_mega_creeps_08"	"Brązowi mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_08"	"Brown now has megacreeps."
"announcer_ann_custom_mega_creeps_09"	"Turkusowi mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_09"	"Cyan now has megacreeps."
"announcer_ann_custom_mega_creeps_10"	"Zieloni mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_10"	"Green now has megacreeps."
"announcer_ann_custom_mega_creeps_11"	"Szarzy mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_11"	"Grey now has megacreeps."
"announcer_ann_custom_mega_creeps_12"	"Srebrni mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_12"	"Silver now has megacreeps."
"announcer_ann_custom_mega_creeps_13"	"Czerwoni mają teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_13"	"Red now has megacreeps."
"announcer_ann_custom_mega_creeps_14"	"Drużyna Dzików ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_14"	"Boar now has megacreeps."
"announcer_ann_custom_mega_creeps_15"	"Drużyna Psów ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_15"	"Dog now has megacreeps."
"announcer_ann_custom_mega_creeps_16"	"Drużyna Smoków ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_16"	"Dragon now has megacreeps."
"announcer_ann_custom_mega_creeps_17"	"Drużyna Koni ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_17"	"Horse now has megacreeps."
"announcer_ann_custom_mega_creeps_18"	"Drużyna Małp ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_18"	"Monkey now has megacreeps."
"announcer_ann_custom_mega_creeps_19"	"Drużyna Wołów ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_19"	"Ox now has megacreeps."
"announcer_ann_custom_mega_creeps_20"	"Drużyna Królików ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_20"	"Rabbit now has megacreeps."
"announcer_ann_custom_mega_creeps_21"	"Drużyna Baranów ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_21"	"Ram now has megacreeps."
"announcer_ann_custom_mega_creeps_22"	"Drużyna Szczurów ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_22"	"Rat now has megacreeps."
"announcer_ann_custom_mega_creeps_23"	"Drużyna Kogutów ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_23"	"Rooster now has megacreeps."
"announcer_ann_custom_mega_creeps_24"	"Drużyna Węży ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_24"	"Snake now has megacreeps."
"announcer_ann_custom_mega_creeps_25"	"Drużyna Tygrysów ma teraz megacreepy."
"[english]announcer_ann_custom_mega_creeps_25"	"Tiger now has megacreeps."
"announcer_ann_custom_roshan_fall_01"	"Roshan został pokonany przez Turkusowych."
"[english]announcer_ann_custom_roshan_fall_01"	"Roshan has fallen to Teal."
"announcer_ann_custom_roshan_fall_02"	"Roshan został pokonany przez Żółtych."
"[english]announcer_ann_custom_roshan_fall_02"	"Roshan has fallen to Yellow."
"announcer_ann_custom_roshan_fall_03"	"Roshan został pokonany przez Różowych."
"[english]announcer_ann_custom_roshan_fall_03"	"Roshan has fallen to Pink."
"announcer_ann_custom_roshan_fall_04"	"Roshan został pokonany przez Pomarańczowych."
"[english]announcer_ann_custom_roshan_fall_04"	"Roshan has fallen to Orange."
"announcer_ann_custom_roshan_fall_05"	"Roshan został pokonany przez Fioletowych."
"[english]announcer_ann_custom_roshan_fall_05"	"Roshan has fallen to Purple."
"announcer_ann_custom_roshan_fall_06"	"Roshan został pokonany przez Niebieskich."
"[english]announcer_ann_custom_roshan_fall_06"	"Roshan has fallen to Blue."
"announcer_ann_custom_roshan_fall_07"	"Roshan został pokonany przez Oliwkowych."
"[english]announcer_ann_custom_roshan_fall_07"	"Roshan has fallen to Olive."
"announcer_ann_custom_roshan_fall_08"	"Roshan został pokonany przez Brązowych."
"[english]announcer_ann_custom_roshan_fall_08"	"Roshan has fallen to Brown."
"announcer_ann_custom_roshan_fall_09"	"Roshan został pokonany przez Turkusowych."
"[english]announcer_ann_custom_roshan_fall_09"	"Roshan has fallen to Cyan."
"announcer_ann_custom_roshan_fall_10"	"Roshan został pokonany przez Zielonych."
"[english]announcer_ann_custom_roshan_fall_10"	"Roshan has fallen to Green."
"announcer_ann_custom_roshan_fall_11"	"Roshan został pokonany przez Szarych."
"[english]announcer_ann_custom_roshan_fall_11"	"Roshan has fallen to Grey."
"announcer_ann_custom_roshan_fall_12"	"Roshan został pokonany przez Srebrnych."
"[english]announcer_ann_custom_roshan_fall_12"	"Roshan has fallen to Silver."
"announcer_ann_custom_roshan_fall_13"	"Roshan został pokonany przez Czerwonych."
"[english]announcer_ann_custom_roshan_fall_13"	"Roshan has fallen to Red."
"announcer_ann_custom_roshan_fall_14"	"Roshan został pokonany przez drużynę Dzików."
"[english]announcer_ann_custom_roshan_fall_14"	"Roshan has fallen to Boar."
"announcer_ann_custom_roshan_fall_15"	"Roshan został pokonany przez drużynę Psów."
"[english]announcer_ann_custom_roshan_fall_15"	"Roshan has fallen to Dog."
"announcer_ann_custom_roshan_fall_16"	"Roshan został pokonany przez drużynę Smoków."
"[english]announcer_ann_custom_roshan_fall_16"	"Roshan has fallen to Dragon."
